,close,sma20,sma50,sma200,indicator_L,indicator_M,indicator_A,score,return_3m,return_12m,effective_state,transition_active,transition_day,engine_intent
2018-12-20,177.2444299697877,174.02946757602666,180.12916607817766,187.1726927029461,False,False,False,0,-0.044579907016384146,-0.11377785015106157,NEUTRAL,False,0,NONE
2018-12-21,174.5448370421849,173.2839992216406,179.70862396254907,186.97954969805141,False,False,False,0,-0.08450545099850693,-0.11303606257981724,BEAR_ACTIVE,False,0,SOXS
2018-12-24,173.90555140576308,172.61289834793178,179.3988357440463,186.79087199611328,False,False,False,0,-0.08545304743040238,-0.12683628806636038,BEAR_ACTIVE,False,0,SOXS
2018-12-25,176.0816331720686,172.14480361122932,179.13474199740017,186.62346564543398,False,False,False,0,-0.06858460614039708,-0.12907794791326488,BEAR_ACTIVE,False,0,SOXS
2018-12-26,177.32568797466607,172.0454886609378,178.94474728975663,186.46660816841393,False,False,False,0,-0.08352325255495174,-0.09573241416379419,BEAR_ACTIVE,False,0,SOXS
2018-12-27,176.3124381384335,171.9167192802281,178.80481490399978,186.279619368298,False,False,False,0,-0.07291326601144277,-0.08244840108191864,BEAR_ACTIVE,False,0,SOXS
2018-12-28,175.9752881050204,171.91779830316676,178.7077927952903,186.10521228646567,False,False,False,0,-0.06173705220622172,-0.08622167771241762,BEAR_ACTIVE,False,0,SOXS
2018-12-31,172.2392425375203,171.8034362306689,178.55433376134536,185.89571794970965,False,False,False,0,-0.09108987271218971,-0.10133009646872693,BEAR_ACTIVE,False,0,SOXS
2019-01-01,171.62760180716256,171.77650283787673,178.33565805712766,185.71096715516356,False,False,False,0,-0.08884795524908695,-0.10445766587730165,BEAR_ACTIVE,False,0,SOXS
2019-01-02,170.94216237348797,171.72640400790382,178.17806017253173,185.52807411430788,False,False,False,0,-0.09258923089009541,-0.09614543760922267,BEAR_ACTIVE,False,0,SOXS
2019-01-03,171.6015212347467,171.9423761237395,178.03123149952611,185.3456136919477,False,False,False,0,-0.08691812720729164,-0.10531152873627436,BEAR_ACTIVE,False,0,SOXS
2019-01-04,170.14022036577268,172.2747292267368,177.88167451786893,185.14599338000906,False,False,False,0,-0.09966792277806868,-0.1238993973002046,BEAR_ACTIVE,False,0,SOXS
