,equity
2019-04-01,97956.83001277826
2019-04-02,98094.98220130416
2019-04-03,97515.38619658926
2019-04-04,97496.32611523873
2019-04-05,97096.52892606106
2019-04-08,96930.71574595213
2019-04-09,97425.93951410442
2019-04-10,97650.99497269983
2019-04-11,97408.41202587321
2019-04-12,97066.88040569532
2019-04-15,97081.64939400328
2019-04-16,96690.0098246724
2019-04-17,96588.1275742614
2019-04-18,96637.09924328548
2019-04-19,96817.32186410684
2019-04-22,96918.08378032615
2019-04-23,96545.9981146714
2019-04-24,96593.18092503356
2019-04-25,96605.90982710796
2019-04-26,96670.67750814982
2019-04-29,96925.57550533654
2019-04-30,96589.41024309708
2019-05-01,96502.58671554457
2019-05-02,96591.42585363265
2019-05-03,96357.70374147366
2019-05-06,96357.70374147366
2019-05-07,96427.15125638885
2019-05-08,96744.66418408298
2019-05-09,96431.00136105303
2019-05-10,97038.25427452751
2019-05-13,98064.87071595839
2019-05-14,98353.62195888821
2019-05-15,98693.25661022277
2019-05-16,99139.69391589091
2019-05-17,97631.22031117984
2019-05-20,97374.86942263952
2019-05-21,97085.09619193556
2019-05-22,97973.39567731274
2019-05-23,100487.43336633797
2019-05-24,97610.55430818854
2019-05-27,97292.9358142752
2019-05-28,101810.59168415703
2019-05-29,99342.5147866572
2019-05-30,96554.33600903627
2019-05-31,97309.76960691191
2019-06-03,100530.03080411903
2019-06-04,100626.68576394318
2019-06-05,106415.38523480624
2019-06-06,110567.50027811415
2019-06-07,114995.09661760475
2019-06-10,118085.99342205645
2019-06-11,131383.58098660805
2019-06-12,130188.19129838636
2019-06-13,118130.93542653426
2019-06-14,127268.55880121997
2019-06-17,124599.80069682068
2019-06-18,125307.82541395798
2019-06-19,133215.1253386335
2019-06-20,123332.6949939261
2019-06-21,116181.31352778336
2019-06-24,107567.81854811426
2019-06-25,105593.3590320413
2019-06-26,106703.45030492687
2019-06-27,108050.36633148251
2019-06-28,108791.83708646428
2019-07-01,105192.14941284448
2019-07-02,99711.20260628342
2019-07-03,99711.20260628342
2019-07-04,99625.10959590621
2019-07-05,99800.87295325423
2019-07-08,100208.60181237865
2019-07-09,100325.48317455995
2019-07-10,101079.23684415713
2019-07-11,101368.71620452544
2019-07-12,102131.64229378634
2019-07-15,101009.349982218
2019-07-16,100714.05361808717
2019-07-17,101120.97707505815
2019-07-18,102926.00905306786
2019-07-19,102000.71439845253
2019-07-22,103383.61914416844
2019-07-23,102664.60944349486
2019-07-24,102349.0019623408
2019-07-25,105042.49201243851
2019-07-26,98210.20875242077
2019-07-29,93931.14273632065
2019-07-30,89077.76218595268
2019-07-31,84765.29273418222
2019-08-01,84765.29273418222
2019-08-02,84765.29273418222
2019-08-05,84765.29273418222
2019-08-06,84765.29273418222
2019-08-07,84765.2927341822
2019-08-08,84981.06292127383
2019-08-09,84962.32685105065
2019-08-12,85636.84530119138
2019-08-13,85708.08372916529
2019-08-14,85014.47077294585
2019-08-15,84450.40817271287
2019-08-16,82845.70244826077
2019-08-19,81678.2670433156
2019-08-20,81456.39689277703
2019-08-21,81976.17806377306
2019-08-22,83675.81163918278
2019-08-23,82041.78809183638
2019-08-26,82563.2687471357
2019-08-27,81070.59950702076
2019-08-28,81751.52738809331
2019-08-29,81564.053413294
2019-08-30,78472.8575981383
2019-09-02,79968.29117365312
2019-09-03,78995.5603210805
2019-09-04,78162.91038224721
2019-09-05,76523.2342047666
2019-09-06,76523.2342047666
2019-09-09,76523.2342047666
2019-09-10,76523.2342047666
2019-09-11,76523.2342047666
2019-09-12,76523.2342047666
2019-09-13,76523.2342047666
2019-09-16,76523.2342047666
2019-09-17,76523.2342047666
2019-09-18,76523.2342047666
2019-09-19,76523.2342047666
2019-09-20,76523.2342047666
2019-09-23,76523.2342047666
2019-09-24,76523.2342047666
2019-09-25,76523.2342047666
2019-09-26,76523.2342047666
2019-09-27,76523.2342047666
2019-09-30,76523.2342047666
2019-10-01,76523.2342047666
2019-10-02,76523.2342047666
2019-10-03,76523.2342047666
2019-10-04,76523.2342047666
2019-10-07,76523.2342047666
2019-10-08,76523.2342047666
2019-10-09,76523.2342047666
2019-10-10,76523.2342047666
2019-10-11,76523.2342047666
2019-10-14,76523.2342047666
2019-10-15,76523.2342047666
2019-10-16,76523.2342047666
2019-10-17,76523.2342047666
2019-10-18,76523.2342047666
2019-10-21,76523.2342047666
2019-10-22,76523.2342047666
2019-10-23,76523.2342047666
2019-10-24,76523.2342047666
2019-10-25,76523.2342047666
2019-10-28,76523.2342047666
2019-10-29,76523.2342047666
2019-10-30,76523.2342047666
2019-10-31,76523.2342047666
2019-11-01,76523.2342047666
2019-11-04,76523.2342047666
2019-11-05,76523.2342047666
2019-11-06,76523.2342047666
2019-11-07,76523.2342047666
2019-11-08,76523.2342047666
2019-11-11,76523.2342047666
2019-11-12,76523.2342047666
2019-11-13,76523.2342047666
2019-11-14,76523.2342047666
2019-11-15,76523.2342047666
2019-11-18,76523.2342047666
2019-11-19,76523.2342047666
2019-11-20,76523.2342047666
2019-11-21,76483.96345880337
2019-11-22,76617.80930742387
2019-11-25,76488.87503679225
2019-11-26,77037.07696408522
2019-11-27,75700.17408751899
2019-11-28,75434.1511285191
2019-11-29,73576.07963786335
2019-12-02,72533.41371216593
2019-12-03,73454.59606891943
2019-12-04,74352.46345166938
2019-12-05,73533.68832721912
2019-12-06,71672.71483409413
2019-12-09,68281.55939306019
2019-12-10,68281.55939306019
2019-12-11,68281.55939306019
2019-12-12,68281.55939306019
2019-12-13,68281.55939306019
2019-12-16,68281.55939306019
2019-12-17,68281.55939306019
2019-12-18,68281.55939306019
2019-12-19,68281.55939306019
2019-12-20,68281.55939306019
2019-12-23,68281.55939306019
2019-12-24,68281.55939306019
2019-12-25,68281.55939306019
2019-12-26,68281.55939306019
2019-12-27,68281.55939306019
2019-12-30,68281.55939306019
2019-12-31,68281.55939306019
2020-01-01,68281.55939306019
2020-01-02,68281.55939306019
2020-01-03,68281.55939306019
2020-01-06,68281.55939306019
2020-01-07,68226.4065369238
2020-01-08,68603.5693811829
2020-01-09,68661.32569543438
2020-01-10,68805.85729833263
2020-01-13,69875.14072700929
2020-01-14,69578.46310161676
2020-01-15,68685.45319087344
2020-01-16,68226.66009088718
2020-01-17,68768.5459579753
2020-01-20,66747.88535840722
2020-01-21,67627.76427611621
2020-01-22,66832.61674742971
2020-01-23,68711.23344659297
2020-01-24,64450.25817231907
2020-01-27,63639.5499210462
2020-01-28,61962.22831622441
2020-01-29,61962.22831622441
2020-01-30,61962.22831622441
2020-01-31,61962.22831622441
2020-02-03,61962.22831622441
2020-02-04,61962.22831622441
2020-02-05,61962.22831622441
2020-02-06,61962.22831622441
2020-02-07,61962.22831622441
2020-02-10,61962.22831622441
2020-02-11,61962.22831622441
2020-02-12,61962.22831622441
2020-02-13,61962.22831622441
2020-02-14,61962.22831622441
2020-02-17,61962.22831622441
2020-02-18,61962.22831622441
2020-02-19,61962.22831622441
2020-02-20,61962.22831622441
2020-02-21,61962.22831622441
2020-02-24,61962.22831622441
2020-02-25,61962.22831622441
2020-02-26,61962.22831622441
2020-02-27,61962.22831622441
2020-02-28,61962.22831622441
2020-03-02,61962.22831622441
2020-03-03,61925.78142347098
2020-03-04,61932.62265795554
2020-03-05,61962.45416361515
2020-03-06,61935.30230725473
2020-03-09,61925.88986812492
2020-03-10,61991.88312290508
2020-03-11,61994.644498867594
