window,is_start,is_end,oos_start,oos_end,is_best_sharpe,is_best_params,oos_sharpe,oos_return_pct,oos_mdd_pct,oos_trades
0,2018-04-01,2019-04-01,2019-04-01,2019-07-01,-1.3785,"{'soxl_max_slices': 25, 'soxl_avg_down_thresh_1': -0.08, 'soxl_avg_down_thresh_2': -0.15, 'soxl_avg_down_slices_1': 2, 'soxl_avg_down_slices_2': 3, 'soxl_trail_drawdown_1': -0.15, 'soxl_trail_drawdown_2': -0.25, 'soxl_trail_sell_pct_1': 0.5, 'soxs_max_slices': 18, 'soxs_alloc_cap_ratio': 0.3, 'soxs_take_profit': 0.06, 'soxs_max_holding_days': 25, 'soxs_loss_cut_1': -0.15, 'soxs_loss_cut_2': -0.25, 'soxs_cooldown_days': 3, 'vampire_soxl_dd_thresh': -0.4, 'vampire_inject_ratio_deep': 0.5, 'vampire_inject_ratio_normal': 0.7, 'transition_extra_slices_day2': 1}",0.8025,7.3862,-21.0359,1
1,2018-07-01,2019-07-01,2019-07-01,2019-10-01,0.4418,"{'soxl_max_slices': 25, 'soxl_avg_down_thresh_1': -0.08, 'soxl_avg_down_thresh_2': -0.15, 'soxl_avg_down_slices_1': 2, 'soxl_avg_down_slices_2': 3, 'soxl_trail_drawdown_1': -0.15, 'soxl_trail_drawdown_2': -0.25, 'soxl_trail_sell_pct_1': 0.5, 'soxs_max_slices': 18, 'soxs_alloc_cap_ratio': 0.3, 'soxs_take_profit': 0.06, 'soxs_max_holding_days': 25, 'soxs_loss_cut_1': -0.15, 'soxs_loss_cut_2': -0.25, 'soxs_cooldown_days': 3, 'vampire_soxl_dd_thresh': -0.4, 'vampire_inject_ratio_deep': 0.5, 'vampire_inject_ratio_normal': 0.7, 'transition_extra_slices_day2': 1}",-4.3799,-27.2539,-27.2539,3
2,2018-10-01,2019-10-01,2019-10-01,2020-01-01,-0.875,"{'soxl_max_slices': 25, 'soxl_avg_down_thresh_1': -0.08, 'soxl_avg_down_thresh_2': -0.15, 'soxl_avg_down_slices_1': 2, 'soxl_avg_down_slices_2': 3, 'soxl_trail_drawdown_1': -0.15, 'soxl_trail_drawdown_2': -0.25, 'soxl_trail_sell_pct_1': 0.5, 'soxs_max_slices': 18, 'soxs_alloc_cap_ratio': 0.3, 'soxs_take_profit': 0.06, 'soxs_max_holding_days': 25, 'soxs_loss_cut_1': -0.15, 'soxs_loss_cut_2': -0.25, 'soxs_cooldown_days': 3, 'vampire_soxl_dd_thresh': -0.4, 'vampire_inject_ratio_deep': 0.5, 'vampire_inject_ratio_normal': 0.7, 'transition_extra_slices_day2': 1}",-3.3017,-10.7702,-11.3653,1
3,2019-01-01,2020-01-01,2020-01-01,2020-04-01,-1.1076,"{'soxl_max_slices': 25, 'soxl_avg_down_thresh_1': -0.08, 'soxl_avg_down_thresh_2': -0.15, 'soxl_avg_down_slices_1': 2, 'soxl_avg_down_slices_2': 3, 'soxl_trail_drawdown_1': -0.15, 'soxl_trail_drawdown_2': -0.25, 'soxl_trail_sell_pct_1': 0.5, 'soxs_max_slices': 18, 'soxs_alloc_cap_ratio': 0.3, 'soxs_take_profit': 0.06, 'soxs_max_holding_days': 25, 'soxs_loss_cut_1': -0.15, 'soxs_loss_cut_2': -0.25, 'soxs_cooldown_days': 3, 'vampire_soxl_dd_thresh': -0.4, 'vampire_inject_ratio_deep': 0.5, 'vampire_inject_ratio_normal': 0.7, 'transition_extra_slices_day2': 1}",-2.1818,-9.3568,-11.7921,2
4,2019-04-01,2020-04-01,2020-04-01,2020-07-01,-1.2231,"{'soxl_max_slices': 25, 'soxl_avg_down_thresh_1': -0.08, 'soxl_avg_down_thresh_2': -0.15, 'soxl_avg_down_slices_1': 2, 'soxl_avg_down_slices_2': 3, 'soxl_trail_drawdown_1': -0.15, 'soxl_trail_drawdown_2': -0.25, 'soxl_trail_sell_pct_1': 0.5, 'soxs_max_slices': 18, 'soxs_alloc_cap_ratio': 0.3, 'soxs_take_profit': 0.06, 'soxs_max_holding_days': 25, 'soxs_loss_cut_1': -0.15, 'soxs_loss_cut_2': -0.25, 'soxs_cooldown_days': 3, 'vampire_soxl_dd_thresh': -0.4, 'vampire_inject_ratio_deep': 0.5, 'vampire_inject_ratio_normal': 0.7, 'transition_extra_slices_day2': 1}",2.3431,6.9145,-2.1355,5
5,2019-07-01,2020-07-01,2020-07-01,2020-10-01,-0.9144,"{'soxl_max_slices': 35, 'soxl_avg_down_thresh_1': -0.08, 'soxl_avg_down_thresh_2': -0.15, 'soxl_avg_down_slices_1': 2, 'soxl_avg_down_slices_2': 3, 'soxl_trail_drawdown_1': -0.15, 'soxl_trail_drawdown_2': -0.25, 'soxl_trail_sell_pct_1': 0.5, 'soxs_max_slices': 18, 'soxs_alloc_cap_ratio': 0.3, 'soxs_take_profit': 0.06, 'soxs_max_holding_days': 25, 'soxs_loss_cut_1': -0.15, 'soxs_loss_cut_2': -0.25, 'soxs_cooldown_days': 3, 'vampire_soxl_dd_thresh': -0.4, 'vampire_inject_ratio_deep': 0.5, 'vampire_inject_ratio_normal': 0.7, 'transition_extra_slices_day2': 1}",1.3801,3.2582,-2.5322,8
6,2019-10-01,2020-10-01,2020-10-01,2021-01-01,-0.7415,"{'soxl_max_slices': 35, 'soxl_avg_down_thresh_1': -0.08, 'soxl_avg_down_thresh_2': -0.15, 'soxl_avg_down_slices_1': 2, 'soxl_avg_down_slices_2': 3, 'soxl_trail_drawdown_1': -0.15, 'soxl_trail_drawdown_2': -0.25, 'soxl_trail_sell_pct_1': 0.5, 'soxs_max_slices': 18, 'soxs_alloc_cap_ratio': 0.3, 'soxs_take_profit': 0.06, 'soxs_max_holding_days': 25, 'soxs_loss_cut_1': -0.15, 'soxs_loss_cut_2': -0.25, 'soxs_cooldown_days': 3, 'vampire_soxl_dd_thresh': -0.4, 'vampire_inject_ratio_deep': 0.5, 'vampire_inject_ratio_normal': 0.7, 'transition_extra_slices_day2': 1}",-1.1709,-2.9532,-7.0344,5
7,2020-01-01,2021-01-01,2021-01-01,2021-04-01,-0.7566,"{'soxl_max_slices': 35, 'soxl_avg_down_thresh_1': -0.08, 'soxl_avg_down_thresh_2': -0.15, 'soxl_avg_down_slices_1': 2, 'soxl_avg_down_slices_2': 3, 'soxl_trail_drawdown_1': -0.15, 'soxl_trail_drawdown_2': -0.25, 'soxl_trail_sell_pct_1': 0.5, 'soxs_max_slices': 18, 'soxs_alloc_cap_ratio': 0.3, 'soxs_take_profit': 0.06, 'soxs_max_holding_days': 25, 'soxs_loss_cut_1': -0.15, 'soxs_loss_cut_2': -0.25, 'soxs_cooldown_days': 3, 'vampire_soxl_dd_thresh': -0.4, 'vampire_inject_ratio_deep': 0.5, 'vampire_inject_ratio_normal': 0.7, 'transition_extra_slices_day2': 1}",0.0,0.0,0.0,0
8,2020-04-01,2021-04-01,2021-04-01,2021-07-01,-0.7148,"{'soxl_max_slices': 35, 'soxl_avg_down_thresh_1': -0.08, 'soxl_avg_down_thresh_2': -0.15, 'soxl_avg_down_slices_1': 2, 'soxl_avg_down_slices_2': 3, 'soxl_trail_drawdown_1': -0.15, 'soxl_trail_drawdown_2': -0.25, 'soxl_trail_sell_pct_1': 0.5, 'soxs_max_slices': 18, 'soxs_alloc_cap_ratio': 0.3, 'soxs_take_profit': 0.06, 'soxs_max_holding_days': 25, 'soxs_loss_cut_1': -0.15, 'soxs_loss_cut_2': -0.25, 'soxs_cooldown_days': 3, 'vampire_soxl_dd_thresh': -0.4, 'vampire_inject_ratio_deep': 0.5, 'vampire_inject_ratio_normal': 0.7, 'transition_extra_slices_day2': 1}",0.0983,0.067,-0.9926,0
9,2020-07-01,2021-07-01,2021-07-01,2021-10-01,-0.6757,"{'soxl_max_slices': 35, 'soxl_avg_down_thresh_1': -0.08, 'soxl_avg_down_thresh_2': -0.15, 'soxl_avg_down_slices_1': 2, 'soxl_avg_down_slices_2': 3, 'soxl_trail_drawdown_1': -0.15, 'soxl_trail_drawdown_2': -0.25, 'soxl_trail_sell_pct_1': 0.5, 'soxs_max_slices': 18, 'soxs_alloc_cap_ratio': 0.3, 'soxs_take_profit': 0.06, 'soxs_max_holding_days': 25, 'soxs_loss_cut_1': -0.15, 'soxs_loss_cut_2': -0.25, 'soxs_cooldown_days': 3, 'vampire_soxl_dd_thresh': -0.4, 'vampire_inject_ratio_deep': 0.5, 'vampire_inject_ratio_normal': 0.7, 'transition_extra_slices_day2': 1}",-2.7526,-5.6977,-8.4249,2
